ID,分类结果
8010000.0,0.0
8010006.0,1.0
8010007.0,1.0
8010009.0,0.0
8010012.0,0.0
8010013.0,0.0
8010014.0,0.0
8010015.0,0.0
8010016.0,0.0
8010019.0,0.0
8010020.0,0.0
8010021.0,1.0
8010022.0,1.0
8010023.0,1.0
8010025.0,0.0
8010026.0,1.0
8010027.0,0.0
8010028.0,1.0
8010029.0,0.0
8010032.0,0.0
8010034.0,0.0
8010035.0,0.0
8010039.0,0.0
8010041.0,0.0
8010042.0,0.0
8010044.0,0.0
8010048.0,0.0
8010049.0,1.0
8010050.0,0.0
8010051.0,0.0
8010052.0,1.0
8010053.0,0.0
8010055.0,0.0
8010056.0,0.0
8010058.0,0.0
8010063.0,0.0
8010064.0,0.0
8010066.0,0.0
8010067.0,0.0
8010068.0,0.0
8010070.0,0.0
8010071.0,0.0
8010072.0,0.0
8010073.0,0.0
8010076.0,0.0
8010077.0,0.0
8010078.0,0.0
8010079.0,0.0
8010080.0,0.0
8010081.0,1.0
8010082.0,0.0
8010083.0,0.0
8010088.0,1.0
8010090.0,0.0
8010091.0,1.0
8010096.0,0.0
8010097.0,0.0
8010099.0,0.0
8010100.0,0.0
8010101.0,1.0
8010103.0,0.0
8010105.0,0.0
8010106.0,1.0
8010108.0,1.0
8010110.0,0.0
8010113.0,0.0
8010114.0,0.0
8010116.0,0.0
8010118.0,1.0
8010120.0,0.0
8010121.0,0.0
8010122.0,0.0
8010124.0,1.0
8010128.0,0.0
8010130.0,0.0
8010131.0,0.0
8010132.0,1.0
8010133.0,0.0
8010134.0,1.0
8010136.0,0.0
8010138.0,0.0
8010141.0,0.0
8010143.0,0.0
8010145.0,0.0
8010148.0,1.0
8010149.0,0.0
8010150.0,0.0
8010151.0,0.0
8010152.0,1.0
8010155.0,1.0
8010156.0,0.0
8010161.0,0.0
8010162.0,0.0
8010163.0,0.0
8010164.0,1.0
8010165.0,0.0
8010167.0,0.0
8010168.0,0.0
8010170.0,0.0
8010172.0,0.0
8010173.0,0.0
8010174.0,0.0
8010175.0,0.0
8010176.0,0.0
8010177.0,0.0
8010178.0,0.0
8010179.0,0.0
8010180.0,0.0
8010182.0,0.0
8010184.0,0.0
8010185.0,1.0
8010186.0,0.0
